reslhwage0,reslhwage1,reslhwage2,reslhwage3,reslhwage4,reslhwage5,reslhwage6,reslhwage7,reslhwage8,reslhwage9,reslhwage10,reslhwage11,reslhwage12,reslhwage13,reslhwage14,reslhwage15,reslhwage16,reslhwage17,reslhwage18,reslhwage19,reslhwage20,reslhwage21,reslhwage22,reslhwage23,reslhwage24,reslhwage25,reslhwage26,reslhwage27,reslhwage28,reslhwage29,reslhwage30,reslhwage31,reslhwage32,reslhwage33,reslhwage34,reslhwage35
,,,,,,,,,,,,,,,,,,,,,,,,,,,-.64452708,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-.26344883,-.60776603,-.41107255,-.33370155,-.42219213,-.30018339,-.37130284,-.13766812,,,,,
-.35734946,-.31166181,.012160414,-.018381771,-.025030468,-.046914179,-.19821541,.28406727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-.23482846,-.63714731,.16532896,-.05872472,.34570229,-.21965234,.28206509,.83469123,.86168867,,,-1.3517621,1.4306165,-.38189882,.46747556,
-.28780001,-.17712957,-.00029314033,.023556756,-.072048388,-.096758522,-.095812619,-.054420423,.15083334,-.33357114,-.25086084,-.079089917,.054900188,-.11398579,-.47398761,-.002054082,-1.2842752,-.54085702,-.19582035,-.0605492,-.07391154,,-.18066242,,-.18843076,,-.21698318,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-1.2503395,,-.57713264,,-.62916046,,,,,,,,,,,
,,,,,,,,,,-.7260198,-.57978362,-.52655119,,,,,,,,-.57437664,,,,,,,,,,,,,,,
,,,,,,,,,,.37822342,.15771137,,-.096102819,,.35695702,,,,,,,,,,,,,,,,,,,,
.13348895,-.14200418,,,,,,,.04284016,,.068274431,,-.26049849,,,,,,,,,,,,,,,,,,,,,,,
,,.25890082,,-.28287083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.36250484,,.27556369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-.071146853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.4763732,.46781409,.42960429,,,.030565277,.20439081,.28229797,.1411583,.15107004,.15962683,.22825521,.30659974,.56253171,.40950197,,,,,,,,,,,,,,,,,,,,,
-.2828486,-.25793096,-.41602111,-.38814709,-.54100078,-.55105889,-.50373846,-.468799,-.71720028,-.92500365,-1.2888651,-1.3886137,-.151189,-.61123306,-.62242538,-.59448647,-.32159647,-.4641206,-.41790685,.12341257,.11317677,-.1759477,-.025622711,,,-.061703946,,,,,,,,,,
.778934,.68173242,.79116386,.55319285,.69082379,.5557487,.55651963,.55706841,.36925745,.51991808,.35623029,,.26666483,,.17823279,,-.49861199,,-.59695768,,,,,,,,,,,,,,,,,
,-.37924799,-.84014314,-.81356114,-.62390947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.32074323,.4703328,,.73551697,,.59401107,,-.66926795,,-.68664587,
,,,,,,,,,,,,,.22403531,.11290985,,,,.39023283,,,,,,,,,,,,,,,,,
,-.15411198,,-.60549879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-1.4542179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-.1099835,,-.13307604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.32998085,.29588076,.26887351,.050068174,.09078896,.54414749,.61072093,,.45504016,.37112632,.32819954,.4414002,.19776672,.37384555,.33905143,,,.034424677,-.63680965,-.26120722,-.47741082,-.39804772,-.34406474,,,.023229595,-.069042183,.044157736,,,,,,,,
.93248236,.44478348,.19798958,-.53487825,-.47947761,-.691881,-.36304116,-.45302081,-.040783927,.23566498,,.045664538,,.08812701,,-.095036633,,,,,,,,,,,,,,,,,,,,
-1.0408703,.055720542,.55731273,-.047002766,-.12651975,-.011654454,,.19651255,,,,-.085398197,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-1.1513441,-.3422803,-.50113982,-.37659764,-.49024028,-.40673184,-.43285981,,,,,,,,,,
,,,,,,,,,,,,,,,-1.016063,,,,,,,,,,,,,,,,,,,,
,-.33665103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-.16566505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.0094039794,-.16174603,-.40034735,,.12202802,-.41988468,.23385035,.53200835,-.53123385,.46508661,.091773942,
,-.79779059,,.049287841,.18039243,.1708301,-.085634105,.19170471,.49072245,.22291017,.20265144,.26794413,.057505563,1.8196307,-.12215183,-.2110257,.1467322,-.16563797,,.29356208,,-.2112969,,-.21274514,,,,,,,,,,,,
-.04597573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,.6552586,.617625,.55379784,.52188796,.52141368,.46988785,.4252871,.35076088,1.1746452,.27571371,.27537051,.0019406965,.14892639,.30666476,.27880028,.043966629,.73406851,.85639745,.19609953,.19714339,.12129956,-.17466879,.33695775,-.072088487,.43811449,-.53998488,-.45581737,,-.51322919,,-.47225314,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.28488949,.29258627,.38316733,.24635416,.31758785,.22711849,.44280437,.41469228,.44448996,.31934163
-.89383018,.035005469,-.090904675,,,,,,,-1.4223652,-1.0365804,-.81755704,,,,,,-.26086721,,,,,,,,,,,,,,,,,,
,,,,,,,,,-1.1472108,,,-1.4117266,,-.70008719,-.51490659,-.24507883,,,,-1.142809,,-1.257615,,,,,,,,,,,,,
,,,-.33105478,,-.41154802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-.85086209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.1702235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-.31709549,,-.098217048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-1.13385,,,,,,,,,,,,,
-.54198766,-.09958528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.52226341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.67559576,,.87980056,,-.73742211,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.52797365,,.41544187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.027136808,,-.36561003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-.43620968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.53842115,.40922764,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.048081808,-.17486155,-.14773631,-.00064664142
.91181117,,.77176881,.71615404,1.0264953,.26731199,.53001815,-.14013667,.31279707,-.57762289,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.38557851,,,,,,,,,-.93713439,,-.95901287,,-.47698215,,,,,,,,,,,,,,,,,,,,,
,-.14770664,-.2758292,-.26570481,-.60228974,-.45812741,-.29006708,,-.44012767,,-.66044742,,-.76592296,,,,,,,,,,,,,,,,,,,,,,,
.58338296,.39705619,.16707806,-.079876542,-.64455909,-.32340506,-.48096141,-.60946923,-.37805709,-1.237758,-.60435432,-.44235024,-.14615674,-.17271172,-.25071234,-1.2018981,.099349819,-.13691805,-.66472846,-.069657236,-.3079907,,-1.2691013,-1.3556769,,,,,,-.55748135,,-.3997483,,,,
.11893149,,.66317374,,.40085045,,.77107209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-.20341091,-.13832466,,,,-.43359053,-.39406306,.0760203,-.12565553,-.58012962,-.52601057,,.11606178,,-.47144964,,-.48366654,,,,,,,,,,,,,,,,,,,
,,,,,-.25529328,.091791861,-.0023568836,.2503199,,-.0098711411,,-.10384165,,.016507965,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.010826075,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.34220335,.22654702,.55889857,.66632682
,.18665072,,.258044,,.40039802,,,,.44956169,.3773883,.27564353,.34994671,.30494371,.16400561,.050095078,.034161173,.32897043,-.025907898,-.17900276,,.17447342,,-.2574077,,-.2968604,,,,,,,,,,
,,,,,,,,,,,,,,.34260741,.12614106,.20153214,.32814184,1.7760028,.36131343,.3865633,.091827624,-.69782174,.27451065,-.2948975,-.081676714,-.023331478,-.023986116,-.30335468,.19361043,.15237418,,.21841905,.35429338,.16407639,.68069458
.0016132883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.3142487,,,,.11179616,.18605974,-.31105712,,.28071532,-.036080223,-.062675975,.40242428,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,.43409821,.6426174,.35815865,-.39257252,.48235023,.38668799,.72537899,.8469516,.71219802,.83828843,.74953735,.54752219,.81076097,1.002124,.96485376,.96670651,1.4390978,.6606335,.97410035,1.1023514,,1.0568761,,1.0450205,,1.9620885,,,,,
,,,,,,,,,-1.1195654,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-.13466707,-.448203,-.099788114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.37499258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.52762103,-.54039037,.66276038,-.57383317,.83716327,-.99892622,-.29116103,.45545763,.40149644,.076981016,,,,1.1159517,,.58999348,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-1.4904211,,-1.7057447,-1.2420478,,-1.5242276,-1.2065101,-1.2397424,,,
-1.047212,-.64655799,-1.060761,-.49112877,-1.1691898,-.84546238,-1.3343889,-.77945262,-.75175899,-.99987918,-1.5418307,-1.0269023,-1.0415455,-.84116191,-.94000858,-.89145184,-.84643358,-.98818147,-1.1288897,-.89484149,-1.8022723,,-1.3671128,,-1.4331568,,,,,,,,,,,
,,,,,,-.30688721,-.27382687,-.1913116,-.057295166,,,,,,,,,,,,,,,,,,,,,,,,,,
