reslhwage0,reslhwage1,reslhwage2,reslhwage3,reslhwage4,reslhwage5,reslhwage6,reslhwage7,reslhwage8,reslhwage9,reslhwage10,reslhwage11,reslhwage12,reslhwage13,reslhwage14,reslhwage15,reslhwage16,reslhwage17,reslhwage18,reslhwage19,reslhwage20,reslhwage21,reslhwage22,reslhwage23,reslhwage24,reslhwage25,reslhwage26,reslhwage27,reslhwage28,reslhwage29,reslhwage30,reslhwage31,reslhwage32,reslhwage33,reslhwage34,reslhwage35
,,,,,,,,,,,,,,,,,,,,,,,,,,,-.57640284,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-.27767628,-.61532962,-.41395429,-.34139046,-.46096501,-.31980544,-.41606453,-.18457367,,,,,
-.37924322,-.2969299,-.009589348,-.056280006,-.0252576,-.051361348,-.18511023,.27969027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-.26530793,-.66947442,.13258347,-.075835109,.33375925,-.23613152,.23259659,.80478442,.80620599,,,-1.4407948,1.3695475,-.39757788,.4310196,
-.38820714,-.26068023,-.096468039,-.035784651,-.11216589,-.11457362,-.11491369,-.078543343,.17733124,-.27312055,-.14361116,.024627374,.12803224,.0068015186,-.38141483,.12631121,-1.1758314,-.40092689,-.057110056,.017854936,-.006414867,,-.0583301,,-.091436855,,-.12146955,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-1.2506878,,-.52774739,,-.6074667,,,,,,,,,,,
,,,,,,,,,,-.71388692,-.56124038,-.51323134,,,,,,,,-.54636991,,,,,,,,,,,,,,,
,,,,,,,,,,.40063328,.16924857,,-.12822814,,.38626868,,,,,,,,,,,,,,,,,,,,
.26971287,-.048589885,,,,,,,.11467187,,.098035686,,-.16138273,,,,,,,,,,,,,,,,,,,,,,,
,,.29591107,,-.25981736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.32606739,,.30320796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-.05560527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.43416187,.43692496,.36759987,,,.015659017,.20416878,.29619941,.14853065,.14607157,.15336244,.25464827,.33117145,.58896303,.43787447,,,,,,,,,,,,,,,,,,,,,
-.21667761,-.18162583,-.34711629,-.30546698,-.44283739,-.45034465,-.42428795,-.39288455,-.64161909,-.86521852,-1.2283758,-1.3283606,-.10770633,-.60677862,-.61644506,-.56916755,-.31298378,-.49613947,-.41530165,.12065748,.089256071,-.18637314,-.044998609,,,-.080784731,,,,,,,,,,
