reslhlabinc0,reslhlabinc1,reslhlabinc2,reslhlabinc3,reslhlabinc4,reslhlabinc5,reslhlabinc6,reslhlabinc7,reslhlabinc8,reslhlabinc9,reslhlabinc10,reslhlabinc11,reslhlabinc12,reslhlabinc13,reslhlabinc14,reslhlabinc15,reslhlabinc16,reslhlabinc17,reslhlabinc18,reslhlabinc19,reslhlabinc20,reslhlabinc21,reslhlabinc22,reslhlabinc23,reslhlabinc24,reslhlabinc25,reslhlabinc26,reslhlabinc27,reslhlabinc28,reslhlabinc29,reslhlabinc30,reslhlabinc31,reslhlabinc32,reslhlabinc33,reslhlabinc34,reslhlabinc35
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1484452,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-.19755717,-.17329635,-.36762267,-.30656347,-.39416575,-.10758,-.26001036,-.032509506,,,,,
-.014762266,.18416691,.1600496,.085623771,.2628428,.34790611,.27367377,.36002076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-.50564367,-1.1329447,-1.4301766,-.054195225,.51547545,.25218183,.59228736,.99990696,.95280558,,,-.31661484,1.8676946,.32508481,1.0669434,-1.7136686
.033963613,-.06278605,.06788902,.25144693,.080924615,-.12755549,-.074929975,-.05549331,.16734713,-.10825313,.062821232,.17637962,.053331837,-.32208133,.01913617,.21436371,-2.9432883,-.71588713,.078066587,.0010303285,-.044936735,,-.13013831,,-.1174994,,-.107386,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-.78636742,,-.36506569,,-.33824205,,,,,,,,,,,
,,,,,,,,,,-.6991483,-.7336325,-.7090646,,,,,,,,-.84199297,,,,,,,,,,,,,,,
,,,,,,,,,,-.12446378,-.14243004,,-.02644052,,.37540165,,,,,,,,,,,,,,,,,,,,
.22463126,.24754839,,,,,,,.31683746,,.1267169,,-1.237072,,,,,,,,,,,,,,,,,,,,,,,
,,.12491342,,.089799576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,.023093678,,.022920553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-.12824115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.5988605,.66781771,.51943725,,,.059181575,.25342497,.28055662,.11392768,.19181927,.13010572,.20871882,.28294566,.69622791,.49533197,,,,,,,,,,,,,,,,,,,,,
-.033978309,-.19429912,-.0017555041,-.082044125,-.21031606,-.25878206,-.15196088,-.058441628,-.11520281,-.10863097,-1.014227,-.83590728,.4152562,.11167265,-.17828223,-.072453491,.012711712,.026734672,-.003636969,.62476581,.14967266,.060793724,.018212974,-.11425538,,-.010196144,,,,,,,,,,
.92251617,.79866707,.86483198,.82667547,.72489405,.52704585,.61191899,.63755989,.41941744,.51303583,.31914064,,.2171437,,.14196397,,.090163171,,.12578441,,,,,,,,,,,,,,,,,
,-.49336201,-.68114412,-1.2851094,-.64954191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.43475166,.5842334,,.6177479,,.49453288,,-1.8440561,,-.83359933,
,,,,,,,,,,,,,.15631713,.22598654,,,,.25205761,,,,,,,,,,,,,,,,,
,.023093678,,-.39259535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-1.0448021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,.35520336,,.20126273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
